"run","density","fraction_blue","circle_blue","circle_orange","eth_con","val_lib","eth_lib","val_con","determinism","utility_function","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
60,70,50,50,50,1,1,0.5,0.7,17,"single-peaked",2000,0.989606953892668,0.983602925475123,0.720726164652412,0.738862652499017,0.975547996976569,0.925862161007901,0.973892159900836,0.94331955922865,0.0862445414847162,0.122448979591837,0.0368763557483731,0.145739910313901,0.0454545454545455,0.0412698412698413,0.134160090191657,0.0787139689578714,0.0935483870967742
8,70,50,50,50,1,1,0.5,0.5,7,"single-peaked",2000,0.888118994826312,0.920139751552795,0.618333333333334,0.608084577114428,0.80555907507127,0.823674948240165,0.851489417989418,0.823735912275358,0.135371179039301,0.184035476718404,0.0377777777777778,0.244588744588745,0.0746268656716418,0.0565832426550598,0.214676889375685,0.110987791342952,0.158968850698174
39,70,50,50,50,1,1,0.5,0.6,17,"single-peaked",2000,0.972352941176471,0.982893091591122,0.671439037153323,0.665023041474654,0.967885154061625,0.83119203917891,0.976237571951857,0.848745519713262,0.0923672566371681,0.159250585480094,0.0153846153846154,0.164859002169197,0.0344086021505376,0.025,0.162162162162162,0.0850340136054422,0.0993520518358531
31,70,50,50,50,1,1,0.5,0.6,9,"single-peaked",2000,0.959388778659612,0.958812582848986,0.655088129321258,0.621155526430756,0.871786816578484,0.930032119914347,0.895345213750122,0.940680974224552,0.117743702081051,0.207852193995381,0.0715746421267894,0.158119658119658,0.036697247706422,0.0551351351351351,0.182019977802442,0.135574837310195,0.0995575221238938
6,70,50,50,50,1,1,0.5,0.5,5,"single-peaked",2000,0.838216715257532,0.847601686507937,0.591849816849817,0.603673835125449,0.773739337004644,0.774283234126985,0.802148090005232,0.798323092677931,0.193373166757197,0.258503401360544,0.0901098901098901,0.277083333333333,0.146236559139785,0.118478260869565,0.268186753528773,0.172991071428571,0.212698412698413
11,70,50,50,50,1,1,0.5,0.5,10,"single-peaked",2000,0.928557776321538,0.92841048436542,0.657342549923196,0.647457208689928,0.81891382699869,0.843692519926426,0.842171018945213,0.862058371735791,0.120288248337029,0.17162471395881,0.0623655913978495,0.194444444444444,0.0506912442396313,0.0567296996662959,0.183425414364641,0.11529933481153,0.125277161862528
53,70,50,50,50,1,1,0.5,0.7,10,"single-peaked",2000,0.974543521112148,0.981408308004053,0.65971366995074,0.640660824514991,0.89320987654321,0.963427051671733,0.912610324302134,0.958242394179894,0.115068493150685,0.169934640522876,0.0689655172413793,0.159574468085106,0.0578703703703704,0.0636160714285714,0.164693218514532,0.119176598049837,0.110864745011086
54,70,50,50,50,1,1,0.5,0.7,11,"single-peaked",2000,0.983155416012559,0.983194186765615,0.695375967759042,0.688372579801152,0.973746729461015,0.939223871366729,0.978478629759253,0.943414442700157,0.0933040614709111,0.105494505494505,0.0378619153674833,0.157667386609071,0.0703296703296703,0.0542035398230089,0.131808278867102,0.0719026548672566,0.11437908496732
18,70,50,50,50,1,1,0.5,0.5,17,"single-peaked",2000,0.949128919860627,0.942343867569601,0.660421754171754,0.651995798319328,0.786685672051527,0.864707621197463,0.820792633292633,0.885245636716224,0.0930747922437673,0.177383592017738,0.0405982905982906,0.121621621621622,0.0339366515837104,0.0373626373626374,0.149720670391061,0.107725788900979,0.0778781038374718
38,70,50,50,50,1,1,0.5,0.6,16,"single-peaked",2000,0.974649556792414,0.97545609152752,0.684887005649717,0.651280963691891,0.856820758606473,0.955648319934035,0.884836561743341,0.955222825472231,0.0968096809680968,0.183585313174946,0.0423728813559322,0.136363636363636,0.0190023752969121,0.0313549832026876,0.16,0.112299465240642,0.0804077010192525
