"run","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
1656,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,7,2000,0.800693787448755,0.762651565255732,0.537909894496721,0.471590784119653,0.864338273940924,0.851755401234568,0.883784811329721,0.87926426921808,0.197144426139484,0.357615894039735,0.0578842315369262,0.32258064516129,0.0646651270207852,0.0610278372591006,0.340473506200676,0.20020964360587,0.193771626297578
1653,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,4,2000,0.573080052066384,0.575448738253616,0.500357142857143,0.520362622036262,0.629780887297972,0.631754830535319,0.658475672877847,0.681873879258817,0.37144420131291,0.478359908883827,0.282608695652174,0.434589800443459,0.299163179916318,0.291044776119403,0.456179775280899,0.378197997775306,0.364908503767492
1659,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,10,2000,0.924266041162228,0.922823444923213,0.497980203317282,0.518944427665358,0.938607243744956,0.916395978344935,0.950064205457464,0.928684687405618,0.123422929237521,0.228813559322034,0.0179775280898876,0.226327944572748,0.0232558139534884,0.0206971677559913,0.227624309392265,0.12649945474373,0.120309050772627
1661,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,12,2000,0.931408252578931,0.932051080344032,0.518966737438075,0.491352402258442,0.917023549025737,0.941674533249424,0.935603073501163,0.950037285607755,0.106068890103882,0.194748358862144,0.0148619957537155,0.20704845814978,0.00894854586129754,0.0119825708061002,0.200878155872667,0.103448275862069,0.108768035516093
1662,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,13,2000,0.954280983916745,0.952174254317112,0.507027649769585,0.492164883574575,0.936797014611584,0.936229722658294,0.950821812596006,0.941800398573526,0.121510673234811,0.247240618101545,0.0172043010752688,0.206593406593407,0.0176211453744493,0.0174102285092492,0.226872246696035,0.130718954248366,0.112211221122112
1660,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,11,2000,0.942525746915469,0.949583208545473,0.51441420180407,0.50882892804699,0.937422249413684,0.929080563042827,0.950215019928676,0.927976190476191,0.119201725997842,0.232409381663113,0.0198237885462555,0.19706498951782,0.0198237885462555,0.0198237885462555,0.214587737843552,0.127843986998917,0.110633727175081
1663,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,14,2000,0.932772183763374,0.938683877098511,0.509163898117387,0.510119047619048,0.923366372980911,0.904500580720093,0.938475284405517,0.923682506475394,0.100645855758881,0.191629955947137,0.00211416490486258,0.207505518763797,0.0104602510460251,0.00630914826498423,0.199558985667034,0.0949298813376483,0.106337271750806
1664,70,50,50,50,0.5,0.4,1,0.5,1,0.4,1,0.5,15,2000,0.960389384920635,0.951596668710403,0.477881644827954,0.494619463505926,0.939754464285715,0.935972307377887,0.94071055715351,0.949417758369723,0.0986522911051213,0.186335403726708,0.00223713646532438,0.197002141327623,0,0.00110497237569061,0.191578947368421,0.0978494623655914,0.0994594594594595
1665,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,0,2000,0.508496040785335,0.522062332239785,0.485002079434394,0.522715431905804,0.505239179954442,0.51394025251019,0.488365564566438,0.508312493487548,0.524822695035461,0.485193621867882,0.556768558951965,0.534446764091858,0.520787746170678,0.53879781420765,0.510893246187364,0.521739130434783,0.527777777777778
1666,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,1,2000,0.528350005209961,0.52944611528822,0.484363606231356,0.524118361313484,0.535836719808274,0.507481203007518,0.488222295878909,0.515307253721888,0.469128996692392,0.481400437636761,0.468677494199536,0.454736842105263,0.472283813747228,0.470521541950113,0.467811158798283,0.475225225225225,0.463282937365011
