"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight_M.nlogo"
"experiment"
"05/19/2021 16:35:41:944 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"25","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","8","2000","0.675214676034348","0.6829232804232807","0.5388376285926405","0.514891395154553","0.5731020686963313","0.5917513227513227","0.6117934033301518","0.6029996867167926","0.28865979381443296","0.319672131147541","0.2583518930957684","0.2911111111111111","0.28289473684210525","0.27071823204419887","0.30597014925373134","0.2902881536819637","0.2869757174392936"
"46","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","13","2000","0.7491792531990776","0.7322963800904979","0.5478939724037769","0.5343525766470972","0.6516047828823162","0.6270065718595131","0.6889044506691563","0.6750924113937814","0.21850613154960982","0.27912087912087913","0.1655773420479303","0.2647058823529412","0.1643835616438356","0.16499442586399107","0.27201783723522854","0.22210065645514224","0.21477272727272728"
"13","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","12","2000","0.7602656265932503","0.6971405511357093","0.5371636662795203","0.515694577607329","0.6370347710818808","0.6085812291018105","0.6631315331010451","0.6977069351230429","0.2379120879120879","0.32762312633832974","0.2073170731707317","0.2463768115942029","0.17002237136465326","0.18956336528221512","0.28944381384790013","0.2659019812304484","0.2067363530778165"
"4","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","3","2000","0.5566053073211662","0.5386436597110756","0.5215277777777777","0.5158317173023057","0.5364852108244176","0.5291171749598711","0.5372415413533833","0.5483705020469727","0.4460511679644049","0.45494505494505494","0.4583333333333333","0.451685393258427","0.41855203619909503","0.43875278396436523","0.4533333333333333","0.4566410537870472","0.4351747463359639"
"14","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","13","2000","0.6818404707420729","0.7125614861329148","0.5188920012449432","0.5142273327241346","0.6223929388689117","0.6162558869701728","0.6940709617180204","0.6617473855213736","0.23026315789473684","0.2642369020501139","0.1786492374727669","0.2888402625820569","0.19189765458422176","0.1853448275862069","0.2767857142857143","0.22048997772828507","0.23974082073434125"
"36","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","3","2000","0.5289990497307572","0.5340204369274135","0.5184550622050621","0.517060736331569","0.539676380530039","0.5336378737541531","0.5355158730158733","0.5295800264550263","0.4633333333333333","0.45454545454545453","0.44819819819819817","0.4608879492600423","0.49074074074074076","0.4691780821917808","0.4577922077922078","0.45139664804469276","0.47513812154696133"
"49","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","0","2000","0.49353522993779914","0.48027603651160244","0.5114121510673232","0.4844528539892776","0.5066508616294483","0.5083690751127241","0.5280788177339901","0.5071244612635345","0.4922992299229923","0.5374732334047109","0.4676724137931034","0.48036951501154734","0.48237885462555063","0.4749455337690632","0.51","0.5026852846401718","0.4813979706877114"
"53","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","4","2000","0.5972194854953481","0.5949542548500885","0.5378785561333741","0.5284002317741253","0.5473371647509582","0.5545166446208109","0.5919598246150705","0.5832622208175303","0.42777155655095184","0.47586206896551725","0.42184154175588867","0.39814814814814814","0.415929203539823","0.41893362350380847","0.4371395617070358","0.44789356984478934","0.4072398190045249"
"29","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","12","2000","0.7289217235566802","0.7155451267366639","0.5060652709359605","0.5247881355932205","0.6283054150863889","0.6146701665075829","0.6743868021346465","0.6872881355932203","0.20674646354733406","0.24557522123893805","0.1724137931034483","0.2511111111111111","0.16101694915254236","0.16666666666666666","0.24833702882483372","0.20851528384279475","0.20498915401301518"
"22","70","50","50","50","0.5","0","1","0.5","0.5","0.1","1","0.5","5","2000","0.5673650060486087","0.6064154786150717","0.5115700248353308","0.5394934143870317","0.5699081711206425","0.5713097662690332","0.594789979483857","0.5848834853090173","0.39303211758301576","0.42032332563510394","0.32653061224489793","0.4259634888438134","0.39574468085106385","0.36223929747530187","0.42332613390928725","0.37299771167048057","0.411214953271028"
