"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight.nlogo"
"basic_compl"
"04/26/2021 14:55:56:199 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","eth_con","val_con","dominant_lib","val_lib","eth_lib","determinism","utility_function","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"59","70","50","50","50","0.5","1","0.5","0.8","1","0.6","5","single-peaked","2000","0.6631932196747018","0.6508662724349005","0.5516776135741656","0.5431380729862038","0.6939667842445623","0.6997043261749144","0.681267104542967","0.6931742323097464","0.33996683250414594","0.4218106995884774","0.268348623853211","0.39433551198257083","0.2616822429906542","0.2650462962962963","0.4084656084656085","0.3492407809110629","0.33032694475760993"
"25","70","50","50","50","0.5","1","0.5","0.6","1","0.7","1","single-peaked","2000","0.5348175633889922","0.5100504718016238","0.5343043074062597","0.49700875752599866","0.5114486703772417","0.5227342549923196","0.522523499638467","0.5199698960043789","0.5078125","0.5064935064935064","0.5054229934924078","0.5230414746543779","0.496551724137931","0.5011160714285714","0.5145089285714286","0.5059588299024919","0.5097813578826237"
"4","70","50","50","50","0.5","1","0.5","0.5","1","0.6","1","single-peaked","2000","0.5472187104930469","0.5143344155844158","0.5192520703933753","0.5072159090909094","0.5311762536873158","0.5067803030303031","0.5279244306418219","0.5224837662337662","0.49720982142857145","0.5022123893805309","0.5217391304347826","0.4818181818181818","0.4818181818181818","0.5022222222222222","0.492152466367713","0.5120614035087719","0.4818181818181818"
"49","70","50","50","50","0.5","1","0.5","0.7","1","0.9","1","single-peaked","2000","0.4971582181259603","0.5416718314223737","0.5075499775381856","0.5384477825464954","0.5158026113671274","0.5335709120958577","0.5216531895777179","0.5285714285714285","0.503641456582633","0.5230414746543779","0.5094339622641509","0.5010845986984815","0.48283261802575106","0.49550561797752807","0.511731843575419","0.5163170163170163","0.4919093851132686"
"28","70","50","50","50","0.5","1","0.5","0.6","1","0.8","1","single-peaked","2000","0.5149916640616858","0.5423986662498704","0.5129995497016775","0.5341371591371594","0.5175341252474732","0.5349588413045744","0.5139057750759878","0.5220645095645097","0.4903047091412742","0.5054704595185996","0.5035460992907801","0.4923413566739606","0.46153846153846156","0.48148148148148145","0.4989059080962801","0.5045454545454545","0.47675675675675677"
"24","70","50","50","50","0.5","1","0.5","0.6","1","0.6","20","single-peaked","2000","0.9488252917060863","0.955159608091024","0.7011466707895281","0.6962378890950321","0.8193104173236627","0.8161636114622848","0.8522572665429805","0.8381467738610597","0.10152838427947598","0.14285714285714285","0.032467532467532464","0.19205298013245034","0.04112554112554113","0.0367965367965368","0.16740088105726872","0.08724100327153762","0.11584699453551912"
"57","70","50","50","50","0.5","1","0.5","0.8","1","0.5","20","single-peaked","2000","0.9607798165137621","0.9644769042520648","0.553440666884603","0.5950704919649018","0.9471630624726955","0.9241817069440198","0.9567750898986598","0.9390564921620823","0.11013698630136987","0.1917808219178082","0","0.2398286937901499","0.010351966873706004","0.005434782608695652","0.2165745856353591","0.096","0.1231578947368421"
"30","70","50","50","50","0.5","1","0.5","0.6","1","0.8","20","single-peaked","2000","0.9804884266340368","0.9681128340481693","0.8199570474069358","0.8235905856595511","0.838559192413583","0.9129522709776754","0.8528396436525614","0.9358100711548987","0.09966405375139978","0.16488222698072805","0.013363028953229399","0.20689655172413793","0.011494252873563218","0.012443438914027148","0.18514412416851442","0.0906113537117904","0.10919540229885058"
"63","70","50","50","50","0.5","1","0.5","0.8","1","0.7","20","single-peaked","2000","0.9793027603651162","0.9637069052674145","0.6449236805331616","0.6923755744597633","0.9570631254811397","0.8766176321908804","0.9530420294528645","0.9160530947491932","0.0910577971646674","0.18475750577367206","0.002257336343115124","0.17834394904458598","0.004106776180698152","0.0032258064516129032","0.18141592920353983","0.09246575342465753","0.08977035490605428"
"61","70","50","50","50","0.5","1","0.5","0.8","1","0.7","1","single-peaked","2000","0.5227200742682395","0.5311874431301173","0.4936976349559867","0.5251127543528424","0.5299994539100042","0.5274491962390053","0.5163378937321033","0.5454426263897627","0.511049723756906","0.481651376146789","0.5077951002227171","0.505307855626327","0.5484581497797357","0.5282392026578073","0.49393605292171994","0.49491525423728816","0.5264864864864864"
"50","70","50","50","50","0.5","1","0.5","0.7","1","0.9","5","single-peaked","2000","0.6295739348370935","0.6532150776053226","0.5991403508771936","0.5765247351640441","0.6315711152882212","0.6491236405870557","0.6895513784461154","0.6747763036099972","0.359349593495935","0.4057017543859649","0.3094736842105263","0.44124168514412415","0.28509719222462204","0.2974413646055437","0.42337375964718854","0.35660580021482274","0.36214442013129106"
"18","70","50","50","50","0.5","1","0.5","0.5","1","1","20","single-peaked","2000","0.9762722022447423","0.9787512664640325","0.9423689431913115","0.9426685020903435","0.82246921651956","0.8563525835866268","0.8566337719298243","0.880256449474865","0.09334061135371179","0.1415525114155251","0.010964912280701754","0.19532908704883228","0.02569593147751606","0.018418201516793065","0.1694169416941694","0.07494407158836688","0.11087420042643924"
"46","70","50","50","50","0.5","1","0.5","0.7","1","0.8","1","single-peaked","2000","0.5031301078783914","0.5406230674087813","0.499169312169312","0.5333625474729767","0.5110466383349679","0.527527829313544","0.543846560846561","0.5556431979744867","0.48585418933623503","0.47139588100686497","0.46444444444444444","0.5411255411255411","0.4662576687116564","0.4653887113951012","0.5072302558398221","0.46786922209695603","0.5026288117770767"
"23","70","50","50","50","0.5","1","0.5","0.6","1","0.6","5","single-peaked","2000","0.6564378977397418","0.6906838905775078","0.6042410714285719","0.5860934537749528","0.6075872284397639","0.6626697061803447","0.6396338222789122","0.6414101706256273","0.3642495784148398","0.39631336405529954","0.3482142857142857","0.39574468085106385","0.31381733021077285","0.3314285714285714","0.39601769911504425","0.37188208616780044","0.35674470457079155"
"60","70","50","50","50","0.5","1","0.5","0.8","1","0.6","20","single-peaked","2000","0.9738046146293565","0.9802853247638523","0.6579759217456734","0.6389102136181577","0.9262714776632298","0.9466744571039049","0.9389121788670318","0.9420866711170449","0.10178668110449378","0.15463917525773196","0","0.22606924643584522","0.004672897196261682","0.002296211251435132","0.19057377049180327","0.08081896551724138","0.12295973884657237"
"33","70","50","50","50","0.5","1","0.5","0.6","1","0.9","20","single-peaked","2000","0.9773593073593074","0.9874810433727631","0.8736981486981487","0.8594921338823778","0.8511769480519483","0.8744313011828939","0.8932061182061182","0.8846689895470384","0.09312398484028153","0.16326530612244897","0.008316008316008316","0.19198312236286919","0.011086474501108648","0.009656652360515022","0.17814207650273223","0.0824295010845987","0.10378378378378378"
"3","70","50","50","50","0.5","1","0.5","0.5","1","0.5","20","single-peaked","2000","0.9477566888824495","0.9443582975915541","0.6288057952487488","0.6411431591664157","0.8725779967159275","0.7673375123721552","0.8817486950037285","0.8160299003322252","0.11038961038961038","0.16194331983805668","0.03355704697986577","0.1774193548387097","0.06765327695560254","0.051086956521739134","0.16918103448275862","0.10095642933049948","0.12017640573318633"
"15","70","50","50","50","0.5","1","0.5","0.5","1","0.9","20","single-peaked","2000","0.9857850571226369","0.9807493146512338","0.8956133246949576","0.9004537689515268","0.8497472449701751","0.8308178495278715","0.8581632653061229","0.8545884048686737","0.08469945355191257","0.1522198731501057","0.015873015873015872","0.13829787234042554","0.02466367713004484","0.020293122886133032","0.14528101802757157","0.08643326039387308","0.08296943231441048"
"20","70","50","50","50","0.5","1","0.5","0.6","1","0.5","5","single-peaked","2000","0.6536730545876893","0.635491399202854","0.5479449472096529","0.5643524007113216","0.6386662795199388","0.620870044052864","0.6311112906701146","0.6444551472041097","0.34759358288770054","0.42276422764227645","0.2895927601809955","0.3436123348017621","0.3278008298755187","0.30952380952380953","0.38477801268498946","0.35974304068522484","0.33547008547008544"
"55","70","50","50","50","0.5","1","0.5","0.8","1","0.5","1","single-peaked","2000","0.5275892214337137","0.5186952582301418","0.500330396475771","0.5073051948051954","0.5404581919160757","0.5238825128360016","0.5187277113488565","0.5166964285714285","0.5016393442622951","0.5118790496760259","0.4845814977973568","0.5179704016913319","0.4909090909090909","0.48769574944071586","0.5149572649572649","0.4983642311886587","0.5049288061336255"
"58","70","50","50","50","0.5","1","0.5","0.8","1","0.6","1","single-peaked","2000","0.5248709122203098","0.5132246376811596","0.5085890245243596","0.5138716356107662","0.5533467202141906","0.5381392339544518","0.5193060596062908","0.5226035196687374","0.5094543490005402","0.5180722891566265","0.48729792147806006","0.5282608695652173","0.5021739130434782","0.49496080627099664","0.5229645093945721","0.5037593984962406","0.5152173913043478"
"47","70","50","50","50","0.5","1","0.5","0.7","1","0.8","5","single-peaked","2000","0.6500759232264344","0.6646134885672336","0.5824222289338568","0.6002982563475078","0.6353620019436352","0.6403345919865754","0.6835220980569823","0.6973564800652593","0.3394854586129754","0.36895674300254455","0.2959830866807611","0.3802197802197802","0.31905781584582443","0.3074468085106383","0.375","0.32909930715935337","0.3492407809110629"
"53","70","50","50","50","0.5","1","0.5","0.7","1","1","5","single-peaked","2000","0.686598997493735","0.6647895902547066","0.6155749746707194","0.5904291979949878","0.6384686716791982","0.6425166112956814","0.6640957446808512","0.6767021720969091","0.3315128345166576","0.36210526315789476","0.3276595744680851","0.34651162790697676","0.2894736842105263","0.30885529157667385","0.3546961325966851","0.344973544973545","0.31715575620767494"
"31","70","50","50","50","0.5","1","0.5","0.6","1","0.9","1","single-peaked","2000","0.5205011389521641","0.5531053800830674","0.5226614699331846","0.5299872733057589","0.5216400911161732","0.5265043948613929","0.5276301834765088","0.4944612366104573","0.5027322404371585","0.48291571753986334","0.5367483296213809","0.5050709939148073","0.48552338530066813","0.5111358574610245","0.4946351931330472","0.5101351351351351","0.49575371549893843"
"40","70","50","50","50","0.5","1","0.5","0.7","1","0.6","1","single-peaked","2000","0.5202658982913763","0.5331353853016619","0.5029734600262123","0.5230182350718069","0.49774795268425825","0.5072627411620385","0.5104084753167324","0.5312925170068034","0.5","0.4883227176220807","0.518348623853211","0.4566744730679157","0.5317460317460317","0.5255319148936171","0.4732739420935412","0.5027563395810364","0.49731471535982813"
"38","70","50","50","50","0.5","1","0.5","0.7","1","0.5","5","single-peaked","2000","0.6231469749762437","0.6395362103174607","0.5345604395604396","0.5358393247889968","0.652771618625277","0.6475099206349212","0.6749502878074316","0.6535036990726275","0.3646228974498101","0.4124168514412417","0.3032967032967033","0.42291666666666666","0.3172866520787746","0.31030701754385964","0.4178302900107411","0.3576158940397351","0.37139807897545357"
"8","70","50","50","50","0.5","1","0.5","0.5","1","0.7","5","single-peaked","2000","0.6724646781789647","0.6722574543836228","0.6295011588706282","0.6252840615638879","0.6043956043956048","0.614505451713396","0.6317056468605147","0.6331654787728545","0.3724944320712695","0.4043956043956044","0.3561946902654867","0.3598130841121495","0.368763557483731","0.36254107338444685","0.3827859569648924","0.38037486218302097","0.3644544431946007"
"16","70","50","50","50","0.5","1","0.5","0.5","1","1","1","single-peaked","2000","0.5271668196186398","0.5358159722222222","0.538743414936474","0.5350063633471202","0.5273299683899253","0.5273015873015874","0.5162948042557587","0.502545338848234","0.505654281098546","0.4796573875802998","0.5639913232104121","0.49166666666666664","0.48775055679287305","0.5263736263736264","0.4857444561774023","0.521551724137931","0.4897739504843918"
"2","70","50","50","50","0.5","1","0.5","0.5","1","0.5","5","single-peaked","2000","0.6632612304180933","0.6220489977728284","0.5699293617862086","0.5482920484108131","0.6286985164436151","0.6129202460494223","0.6254890337877892","0.6358415337631493","0.390944229707344","0.39215686274509803","0.4149377593360996","0.39643652561247217","0.35629453681710216","0.3875968992248062","0.394273127753304","0.4038257173219979","0.37701149425287356"
