"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight_M.nlogo"
"M_fin"
"06/06/2021 03:45:21:972 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 ]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square""]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" ]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square""]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle""]","mean [count (turtles-on neighbors)] of turtles  / 8","mean [count (turtles-on neighbors)] of turtles with [shape = ""circle""] / 8","mean [count (turtles-on neighbors)] of turtles with [shape = ""square""] / 8","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]"
"31","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","9","2000","0.6719609460946093","0.6552936246005531","0.7549195477277663","0.5948147305631378","0.6257909328114818","0.6827292488120518","0.7252475247524752","0.7979033970276008","0.6471175799086758","0.26732673267326734","0.23142250530785563","0.3059360730593607"
"40","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","18","2000","0.7215461170754648","0.6898851970848683","0.8385917088074166","0.6064109539354369","0.6615636852085969","0.7177444427172391","0.7734118291347207","0.8939064200217628","0.6513230429988974","0.10350492880613363","0.05984766050054407","0.14773980154355015"
"33","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","11","2000","0.6913602328384232","0.6568736056619725","0.776896756533416","0.6070129870129864","0.6365032021485394","0.6769607843137251","0.7464997307485192","0.8233957219251337","0.6685195227765727","0.2245557350565428","0.17754010695187167","0.272234273318872"
"49","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","6","2000","0.6975235757150648","0.5899319356766165","0.7163311220816617","0.6783220454664762","0.5785778566286124","0.6015238620255154","0.7139934533551555","0.7607497243660419","0.6681965442764579","0.32133115111838517","0.30099228224917307","0.3412526997840173"
"9","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","8","2000","0.6030466445427731","0.6478277760219123","0.6842884199134195","0.5260070299671594","0.6207941017316028","0.6734631568144492","0.7166943062465451","0.7862338362068966","0.6434449489216799","0.2791597567716971","0.23922413793103448","0.32122587968217936"
"13","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","12","2000","0.6163683949456972","0.6625345916875511","0.7030947054436987","0.532999231950845","0.6362509321401943","0.6878008192524319","0.7427397260273972","0.8317204301075268","0.6502793296089385","0.19835616438356166","0.14731182795698924","0.25139664804469275"
"28","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","6","2000","0.611902166861294","0.5857175295186183","0.6518014613252712","0.5695371856607812","0.5810141093474436","0.5907116104868916","0.7103758169934641","0.7547752808988764","0.6686046511627907","0.369281045751634","0.3393258426966292","0.3974630021141649"
"23","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","1","2000","0.5145176507587081","0.505103257593626","0.5176667739167736","0.5115075093546568","0.4927096739596744","0.5169498692910962","0.6973032471106219","0.7023681377825619","0.6920045045045045","0.49477160154100164","0.4897739504843918","0.5"
"51","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","8","2000","0.7656175756636685","0.6259935698791442","0.8055597771023304","0.7240847555836489","0.6202077001013173","0.6320098504003367","0.7272234273318872","0.7842920353982301","0.6723404255319149","0.2478308026030369","0.22787610619469026","0.2670212765957447"
"43","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","0","2000","0.49254242689825517","0.5069237510955303","0.49547879260994077","0.48948231912354906","0.5206232110330473","0.4926469790649749","0.6857222532069158","0.6830865603644647","0.6882513661202185","0.532069157836029","0.5421412300683371","0.5224043715846994"
"53","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","10","2000","0.8304114316736461","0.6666479240990628","0.8754839124839122","0.7849457340187987","0.6509176319176321","0.6825154489276619","0.7345276872964169","0.8181570338058888","0.6516216216216216","0.20521172638436483","0.1668484187568157","0.24324324324324326"
"46","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","3","2000","0.5934245354718657","0.5325372801845003","0.6010494120128672","0.5858914244034594","0.5185730105995887","0.5463334896321764","0.7056962025316456","0.725246170678337","0.6859080841638981","0.4479911942762796","0.42560175054704596","0.4706533776301218"
"35","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","13","2000","0.6902489653727272","0.6852611451621342","0.788121287902469","0.5912939844079222","0.6637477857663858","0.7070124841972187","0.7435404068169323","0.8589601769911505","0.6295081967213115","0.1896646509070918","0.12057522123893805","0.25792349726775954"
"15","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","14","2000","0.6454790403647848","0.6755175138608225","0.757050367316737","0.5381943385678715","0.6486219015908256","0.7013797835035828","0.7514961915125136","0.8395144076840982","0.6599611542730299","0.1985854189336235","0.1568836712913554","0.24195338512763595"
"21","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","20","2000","0.641332227110185","0.6802526304957414","0.7654005414874983","0.5246767994409505","0.6447085523172478","0.7136730058899861","0.7682235421166307","0.8774895178197065","0.6521436525612472","0.1695464362850972","0.1111111111111111","0.23162583518930957"
"10","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","9","2000","0.6195011956747759","0.6502774745269277","0.7145819987187692","0.5292755825734552","0.6234118086696576","0.6757712765957451","0.7206604803493449","0.7946808510638298","0.6426569506726457","0.29748908296943233","0.24468085106382978","0.3531390134529148"
"39","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","17","2000","0.7188480104370517","0.6807671232876702","0.8159590589202231","0.6186008590518614","0.6611046899881853","0.7010645349453813","0.7558839627805145","0.8638641425389755","0.6515069967707212","0.1510673234811166","0.10801781737193764","0.19268030139935413"
"47","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","4","2000","0.6370238095238094","0.5569271244409365","0.630748223565595","0.6432030597326652","0.5461766889383823","0.5675125313283207","0.7090005521811154","0.7260142543859649","0.6917408231368187","0.4439536167863059","0.4375","0.45050055617352613"
"24","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","2","2000","0.5337230494803794","0.5169038570911533","0.5465800636267232","0.5202367710154141","0.5233260112104235","0.5101673817469138","0.7088762214983714","0.7188542825361512","0.6993637327677624","0.4609120521172638","0.44382647385984425","0.47720042417815484"
"42","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","20","2000","0.7052199343001351","0.6715100285767694","0.8137175324675318","0.5885123898220521","0.6570436507936513","0.687071068241033","0.7554652466367713","0.8744179278230501","0.645","0.13396860986547085","0.0779976717112922","0.18594594594594593"
"29","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","7","2000","0.6383928571428561","0.6206474007513446","0.700042061792597","0.5772672126175316","0.6099609972468655","0.6312430492366796","0.7306769722814499","0.7725583864118896","0.6884368308351178","0.32356076759061836","0.2929936305732484","0.354389721627409"
"50","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","7","2000","0.731142440573824","0.6252362727485731","0.7608645525674904","0.701126373626373","0.6173312088709267","0.6332195185766603","0.7204918032786886","0.7682692307692308","0.673233695652174","0.2863387978142076","0.25824175824175827","0.3141304347826087"
"41","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","19","2000","0.7105127811468486","0.6910986156956055","0.8215570309320304","0.5981480051480047","0.6712670431420434","0.7111660231660233","0.7777628755364807","0.8987837837837838","0.6585463258785943","0.14163090128755365","0.10162162162162162","0.1810436634717785"
"37","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","15","2000","0.71953777708802","0.685221541087918","0.8169706959706954","0.6098413614868577","0.6836923076923078","0.6869432530517974","0.749321021184139","0.855080831408776","0.6553846153846153","0.19228680065181966","0.1489607390300231","0.23076923076923078"
"26","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","4","2000","0.5802667596322691","0.5728230554694754","0.6069550264550265","0.5548224374495562","0.5538822751322753","0.590881002824859","0.7188177874186551","0.7409957627118644","0.6955555555555556","0.42516268980477223","0.4057203389830508","0.44555555555555554"
"54","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","11","2000","0.8198167396061263","0.6940039856205062","0.8713261505719607","0.7704052467718061","0.6666400638467682","0.720253406828969","0.7542396061269147","0.8587888531618435","0.6452513966480447","0.1761487964989059","0.1264737406216506","0.22793296089385476"
"1","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","0","2000","0.5020305480682835","0.5131529970478752","0.5032632275132282","0.500868860633259","0.5000502645502642","0.5255011219147345","0.7132075471698113","0.7160994764397905","0.7101388888888889","0.5121293800539084","0.5026178010471204","0.5222222222222223"
"45","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","2","2000","0.5612970132743359","0.527496839443742","0.5461535481871708","0.577055788455338","0.5369047619047626","0.5177066537676019","0.7003595132743363","0.7028781038374717","0.6979392624728851","0.476216814159292","0.4548532731376975","0.4967462039045553"
"58","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","15","2000","0.8582801527500135","0.692291378338202","0.9080304698972097","0.8107293233082705","0.6616005873715125","0.7216253132832079","0.7705866523143164","0.8872368421052632","0.6485407488986784","0.1340150699677072","0.09368421052631579","0.1762114537444934"
"59","70","50","50","50","0.5","0.1","1","0.5","0.5","1","1","0.5","16","2000","0.8535925272364598","0.6954637870185667","0.915105216896748","0.7933872273670356","0.6663926374024094","0.723917058853296","0.768796992481203","0.8904091392136025","0.6445439739413681","0.1288936627282492","0.077577045696068","0.18132464712269272"
"3","70","50","50","50","0.5","0.1","1","0.5","0.5","0.1","1","0.5","2","2000","0.5318657361503052","0.5277953626725649","0.5432999030265918","0.5205167173252284","0.5201092226815702","0.5354242654508612","0.7211692471970101","0.7313829787234043","0.7108788853161844","0.47143619861185265","0.49361702127659574","0.4490889603429796"
"25","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","3","2000","0.5447996329152639","0.5423791679412657","0.5536125251882488","0.536640893470791","0.5196932336408957","0.5633811978399615","0.722296573875803","0.735438144329897","0.7081013363028953","0.458779443254818","0.4402061855670103","0.47884187082405344"
"36","70","50","50","50","0.5","0.1","1","0.5","0.5","0.5","1","0.5","14","2000","0.6966420982223247","0.6651128090350129","0.803772368820139","0.5856226098800356","0.6474636032757047","0.6834027450364075","0.7602591792656588","0.8633113311331133","0.6609225874867445","0.16360691144708422","0.12321232123212321","0.20254506892895016"
"91","70","50","50","50","0.5","0.5","1","0.5","0.5","0.5","1","0.5","6","2000","0.6074081480296477","0.6485075721217927","0.6440994916485109","0.568603247750713","0.6533328146073247","0.6434043778801833","0.6956886898096305","0.7226382488479263","0.6702069716775599","0.36226203807390817","0.33755760368663595","0.38562091503267976"
